,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health,quality_of_life_index
"Birmingham, AL",43734.64055391599,21226.030553916,31168.630553916002,34005.510553916,15203.530553916002,4471.800553916004,21233.330553916,7663.360553916003,3579.9505539160023,12349.230553915995,-6512.8494460839975,2162.3105539159988,-10867.029446084,-7998.549446083998,-10662.019446084005,-6845.679446083999,-552.6194460840014,-570.0494460839983,4817.480553915997,5147.780553916,-1048.129446084,-3045.939446084001,27098.509446083997,421.5454546,2496,0.0
"Bloomington, IL",48465.05623693501,26779.338736935,38656.603736935,36158.228236935014,24961.124236935,9953.732236935004,40461.984236935015,14342.576236935005,11742.726736935,26298.669736935,1304.8927369350022,9969.072736935002,-4504.454763064999,1185.3007369350053,-2616.728263065001,1193.605736935002,7567.6932369350025,2739.996736935001,26959.77223693501,13072.967236935,6422.433736935002,4038.898736935003,22351.899763065,443.99999996,2473,0.0
"Bloomington, IN",34688.020434013,18429.962134013,27021.782834012996,26575.405934012997,13860.767434013,3423.623134013,23744.613734012997,5569.522134013,5838.738434012998,18160.790134013,-2122.8599659870015,5141.081334013001,-9229.976765987,-4826.175265987,-7537.967565987001,-4651.549065987001,2089.361334013,-3117.2120659869984,8869.122234013,6208.057934012995,3806.801534012997,1121.287934013002,26112.769965987,606.75,2268,0.0
"Boca Raton, FL",33501.170723749005,7943.630723749004,16970.570723749,13889.570723748999,3434.4507237490034,-8874.729276250997,11409.950723749003,-4678.329276250996,-6234.429276251001,7350.050723749002,-15297.989276251,-9115.109276250998,-21435.989276251003,-19417.269276251,-20069.349276251,-17670.469276251002,-11849.269276250998,-21164.069276251,-7630.5492762509975,-9492.489276250999,-13179.829276251001,-14573.749276250996,40537.269276251,333.5499999999999,2555,0.0
"Boise, ID",25369.544180659,15148.967480659,22379.629280659003,29390.684780659005,10301.282780659003,3553.1862806590034,19257.524180659,3470.654080659002,1443.9040806590021,18804.097580659003,-2751.468419340996,1981.1178806590035,-10089.924819341,-6128.844619340998,-7854.824919340997,-5069.259719341,9.775780659001613,-6286.931119340996,1674.0954806590014,3509.1228806590043,734.5415806590026,142.73058065900113,26085.846519341,458.86363632,1839,0.0
"Boston, MA",36695.11508601799,10252.125586017979,21506.13908601798,16813.50608601798,9786.704586017986,-13312.183413982011,25455.216086017987,-366.4764139820181,-3676.2179139820146,13404.295086017983,-17663.774913982015,-5484.6484139820095,-24302.26341398201,-16887.362913982015,-21350.07291398201,-20428.49841398201,-15300.800413982017,-20743.70841398201,-2820.5144139820186,-6813.06791398202,-13968.352413982017,-16767.91491398202,45933.96441398201,740.3636363200002,2660,182.07558511355015
"Boulder, CO",49692.47158756,19120.15918755999,34274.41048756,26153.93188756,16674.737087559995,1488.6144875600005,27806.14738755999,1617.0119875599994,-66.09581244000583,19225.81198756,-5934.556812440002,-2307.5493124400023,-14836.805412440008,-10239.783612440006,-12770.063112440004,-7238.463612440006,-2186.241612440004,-10968.437412440006,273.607287559993,2009.5414875599965,-3610.2012124400026,-4364.699712440004,33653.414412440005,988.75,2367,0.0
"Bozeman, MT",31761.88433494,14983.70633494,17492.114334939994,23175.13733494001,10689.977334940002,5180.911334939996,15671.243334940005,4863.810334940002,-16.787665060001018,19203.491334940005,-2294.075665059998,4868.3093349400015,-8534.720665060002,-4671.927665059997,-6557.5026650599975,-4555.143665060001,567.9433349400024,-875.6366650599994,8108.336334939999,4626.569334939999,3095.830334940001,3412.1203349400016,25712.51166506,671.5999999999998,2349,0.0
"Bronx, NY",59368.527177096985,24816.786877096998,29400.680877097002,25008.433677097,15673.562277097,1930.0846770969947,40355.456877096985,9144.979677096999,13664.878077096997,23302.685577096992,-10453.976222903006,-241.56282290300442,-13407.413122903004,-7619.134822903005,-12229.637122903003,-9099.533822903002,-4894.2727229030015,-6424.182922903005,9027.244077096992,2586.9631770969936,-4152.056722903002,-3832.257822903004,33474.589622903004,448.6,2338,0.0
"Brooklyn, NY",44769.11307496898,10217.372774968992,14801.266774968999,10409.019574969005,1074.1481749689992,-12669.329425031006,25756.042774968988,-5454.434425031002,-934.536025031004,8703.271474968991,-25053.390325031007,-14840.976925031006,-28006.827225031007,-22218.548925031006,-26829.051225031006,-23698.947925031007,-19493.686825031004,-21023.59702503101,-5572.1700250310105,-12012.450925031008,-18751.470825031003,-18431.671925031005,48074.003725031005,806.52,2338,0.0
"Buffalo, NY",64520.25878235199,29968.518482352003,34552.41248235201,30160.165282352013,20825.293882352005,7081.816282352,45507.188482352,14296.711282352004,18816.609682352,28454.417182352,-5302.244617648001,4910.168782352001,-8255.681517648001,-2467.403217648,-7077.905517648001,-3947.8022176479967,257.45888235200255,-1272.4513176479995,14178.975682351997,7738.6947823519995,999.6748823520027,1319.4737823520006,28322.858017648,342.8514285600001,2338,0.0
"Burlington, VT",29079.590559202003,12584.588559202,19224.788559202003,18115.232559202006,13921.196559202006,-2817.819440797997,19393.292559202004,1449.758559202004,-2457.963440798001,16660.81455920201,-4958.1774407979965,-3221.943440798001,-8963.815440798,-6743.445940797996,-7980.182440797998,-7579.787940797995,-38.31944079799359,-4269.9729407979985,-893.5894407979978,825.0085592020005,-1021.9524407979989,-1501.0714407979974,31639.857440797998,830.0,2377,0.0
"Cambridge, MA",38650.552931560014,12207.563431559995,23461.57693156,18768.94393156,11742.142431560002,-11356.745568439996,27410.65393156,1588.9614315599977,-1720.780068439999,15359.73293156,-15708.33706844,-3529.210568439994,-22346.82556844,-14931.92506844,-19394.63506844,-18473.06056844,-13345.36256844,-18788.27056844,-865.076568440003,-4857.630068440005,-12012.91456844,-14812.47706844,43978.52656844,810.0,2660,0.0
"Canton, OH",45834.050806489,23468.996806488998,34133.494506489005,32086.900706489,21414.204706489003,8027.871406489002,25623.659106488998,14352.487206489004,5761.657506489001,21199.558306489005,-2276.260593510997,6101.543406488997,-7453.457893510999,-3413.1116935110003,-5302.478293511002,-2031.374193511001,4817.792306488997,-124.1512935110004,10956.155106489005,8832.795406489004,6383.194606489,1931.023806489,24695.270393511,370.00000004,2332,0.0
"Cary, NC",51060.825815361015,22524.973315361007,34706.963315361005,28175.465815361,18079.220815361,6052.918315360998,19051.888315361,5903.053315360999,6023.0908153610035,17698.010815360994,-4878.131684639,3847.028315361,-10121.999184639,-6597.676684638997,-8299.844184638998,-4945.9866846390005,1659.118315361,-3252.094184638998,5030.353315361004,5079.523315360999,-162.20918463899943,-2128.349184638999,26517.256684639,506.25,2165,0.0
"Cedar Rapids, IA",37140.620294471,22304.743394470992,31847.300894470995,27443.62819447099,19176.11299447099,8207.128394470994,21963.232994470996,11306.72839447099,8246.113394470995,19698.962594471002,3716.372194470998,8878.708394470996,-4225.0196055290035,340.4261944709943,-1420.3211055290049,54.10659447099533,7724.548394470996,5773.175894470994,10612.905894470998,11270.135894470994,8094.875894470995,7758.065894470994,21036.736605529004,614.0,2237,0.0
"Champaign, IL",47272.84808604701,25587.130586047002,37464.395586047,34966.020086047014,23768.916086047,8761.524086047004,39269.776086047015,13150.368086047005,10550.518586047,25106.461586047,112.68458604700209,8776.864586047002,-5696.662913952998,-6.907413952994831,-3808.936413953001,1.397586047001823,6375.485086047003,1547.7885860470017,25767.564086047012,11880.759086046999,5230.225586047003,2846.6905860470038,23544.107913952997,281.0,2473,0.0
